roadLabel,countryLabel,length
C42 road (Namibia),Namibia,119
N17 road,Guinea,118
N26 road,Guinea,115
R303 road,South Africa,114
National route 8,Mali,112
A23 road,Kenya,110
N4,Ghana,110
R306 road,South Africa,110
Mubende–Kyegegwa–Kyenjojo–Fort Portal Road,Uganda,109
Ethiopian Highway 15,Ethiopia,108.6
Isebania–Kisii–Ahero Road,Kenya,107
N29 road,Guinea,107
RNIE 6,Benin,106
RNIE 5,Benin,106
Route nationale 3b,Madagascar,106
C49 road (Namibia),Namibia,105
Acholibur–Gulu–Olwiyo Road,Uganda,104
R308 road,South Africa,103
Elwak–Mandera Road,Kenya,100
Kisumu–Kakamega–Webuye–Kitale Road,Kenya,99
National Highway 5,Djibouti,99
Route nationale 17a,Madagascar,99
N10 road,Guinea,98
Route nationale 42,Madagascar,98
Tororo–Mbale–Soroti Road,Uganda,98
R316 road,South Africa,96
Masaka–Mbarara Road,Uganda,95.8
C32 road,Namibia,95
Route nationale 14,Madagascar,92
RN4,Benin,91
Route nationale 3,Madagascar,91
N24 road,Burkina Faso,90
National Road 34,Democratic Republic of the Congo,90
National Road 23,Democratic Republic of the Congo,90
Route nationale 3,Madagascar,90
IR1,Ghana,88.23
Route nationale 33a,Madagascar,86
N32 road,Guinea,85
Garsen–Witu–Lamu Highway,Kenya,84
N4 road,Guinea,84
Kigumba–Masindi–Hoima–Kabwoya Road,Uganda,84
Mpigi–Kabulasoke–Maddu–Sembabule Road,Uganda,84
Fort Portal–Kasese–Mpondwe Road,Uganda,83
N19 road,Togo,82
National Highway 11,Djibouti,82
Route nationale 16,Madagascar,81
Jinja–Iganga–Bugiri–Tororo Road,Uganda,81
Lagos–Abeokuta expressway,Nigeria,81
A10 road,Botswana,80.4
RN3,Benin,80
R54 road,South Africa,79.7
National route 12,Mali,79
N2 road,Guinea,79
Kampala–Masaka Road,Uganda,79
Route nationale 55,Madagascar,78
Mbarara–Ntungamo–Kabale–Katuna Road,Uganda,77.7
RN2,Benin,77
Soroti–Dokolo–Lira Road,Uganda,77
Koboko–Yumbe–Moyo Road,Uganda,75
A1 road,Namibia,74
N28 road,Guinea,71
Route nationale 31a,Madagascar,71
Muyembe–Nakapiripirit Road,Uganda,71
Tirinyi–Pallisa–Kamonkoli–Kumi Road,Uganda,70.1
R309 road,South Africa,70
Lemosho Route,Tanzania,70
EN1-ST01,Cape Verde,70
Route nationale 23a,Madagascar,70
Hoima–Butiaba–Wanseko Road,Uganda,69
R21 road,South Africa,67.6
R554 road,South Africa,67.6
RN9,Benin,67
Mubende–Kakumiro–Kibaale–Kagadi Road,Uganda,66.5
N12 road,Guinea,66
R304 road,South Africa,65
Gulu-Nimule Road,South Sudan,65
Fort Portal–Bundibugyo–Lamia Road,Uganda,65
Musita–Mayuge–Lumino–Majanji–Busia Road,Uganda,65
Atiak–Adjumani–Moyo–Afoji Road,Uganda,65
Gulu-Nimule Road,Uganda,65
Iganga–Tirinyi–Kamonkoli–Mbale Road,Uganda,64
Kyenjojo–Kabwoya Road,Uganda,64
N34 road,Togo,63
N15 road,Guinea,63
Kampala Outer Beltway,Uganda,63
Kabale–Kisoro–Bunagana Road,Uganda,62.5
R310 road,South Africa,61
R301 road,South Africa,60
N27 road,Togo,60
N38 road,Togo,60
National Highway 14,Djibouti,60
EN1-ST02,Cape Verde,60
R50 road,South Africa,59.7
