cityLabel,countryLabel,population
Tabora,Tanzania,127880
Praia,Cape Verde,127832
Oumé,Ivory Coast,127153
Guelmim,Morocco,126729
Bizerte,Tunisia,126491
Issia,Ivory Coast,126252
Nador,Morocco,126207
Makeni,Sierra Leone,125970
Jijiga,Ethiopia,125876
Khemisset,Morocco,125834
Rosetta,Egypt,125778
Ksar el-Kebir,Morocco,124701
Ouahigouya,Burkina Faso,124580
Grand-Bassam,Ivory Coast,124567
Ziguinchor,Senegal,124283
Bimbo,Central African Republic,124176
Khenifra,Morocco,123738
Kaya,Burkina Faso,122949
Skhirat,Morocco,122705
Ondjiva,Angola,121537
Bizerte,Tunisia,121483
Mit Ghamr,Egypt,121039
Jimma,Ethiopia,120960
Ghardaia,Algeria,120000
Bizerte,Tunisia,119243
Bonoua,Ivory Coast,118388
Nouadhibou,Mauritania,118000
Dolisie,Republic of the Congo,117920
Menouf,Egypt,117240
Banfora,Burkina Faso,117200
Bizerte,Tunisia,117126
Gabela,Angola,116903
Bonon,Ivory Coast,116871
Lira,Uganda,116500
Kadoma,Zimbabwe,116300
Aïn Beïda,Algeria,116064
Sokodé,Togo,115442
Ben Guerir,Morocco,114872
Bizerte,Tunisia,114371
Machakos,Kenya,114109
Gabiadji,Ivory Coast,113369
Sokodé,Togo,113000
Nador,Morocco,112450
Makeni,Sierra Leone,112428
Kisii,Kenya,112417
Gondar,Ethiopia,112249
Grand-Zattry,Ivory Coast,112049
Sangalkam,Senegal,110958
Franceville,Gabon,110568
Manzini,Eswatini,110508
Asella,Ethiopia,110088
Makeni,Sierra Leone,109125
Maxixe,Mozambique,108824
Mersa Matruh,Egypt,108774
Mascara,Algeria,108587
Khenchela,Algeria,108580
Yeumbeul Sud,Senegal,108069
Sarh,Chad,108061
Baía Farta,Angola,107841
Labé,Guinea,107695
Shinyanga,Tanzania,107362
Wa,Ghana,107214
Lqliâa,Morocco,107133
Dania,Ivory Coast,106612
Musturud,Egypt,106280
Idku,Egypt,105875
Q129871284,Senegal,105362
Khemisset,Morocco,105088
New Beni Suef City,Egypt,105000
Kafr el-Dawwar,Egypt,104709
Monastir,Tunisia,104535
Séguéla,Ivory Coast,103980
Tiflet,Morocco,103850
Musoma,Tanzania,103497
Tanga,Tanzania,103399
Bumba,Democratic Republic of the Congo,103328
Girga,Egypt,102597
Sabratha,Libya,102038
Dogbo-Tota,Benin,101870
Akhmim,Egypt,101509
Kousséri,Cameroon,101246
Zomba,Malawi,101140
